series,layer,spearman_rho,centroid_tau,knn_purity,cross_cosine,cross_rho
english_monarchs,9,0.4252483927527762,0.09469313151323702,0.1016949152542373,0.017984390258789062,0.34132086499123326
english_monarchs,10,0.38012857977790776,0.08123033223008898,0.11864406779661017,0.01375574804842472,0.33115137346580953
english_monarchs,11,0.3659848042080655,0.06763760658800988,0.15254237288135594,0.033561594784259796,0.08094681472822912
english_monarchs,12,0.36978375219170084,0.09855371973532255,0.2033898305084746,0.37325528264045715,-0.2498538866160141
japanese_nengo,0,,,0.03389830508474576,1.0,
japanese_nengo,1,0.1212741087083577,0.019512876556572252,0.03389830508474576,0.16742733120918274,-0.13173582700175338
japanese_nengo,2,0.043015780245470495,0.036782870152125106,0.05084745762711865,0.21884247660636902,-0.039918176504967866
japanese_nengo,3,0.027878433664523673,0.06283560763895246,0.05084745762711865,0.12718017399311066,-0.04360023378141439
japanese_nengo,4,0.04663939216832263,0.06245803173334626,0.01694915254237288,0.16823835670948029,0.09333722969023964
japanese_nengo,5,0.04552893045002923,0.04911838443057093,0.05084745762711865,0.12246140837669373,-0.04862653419053186
japanese_nengo,6,0.07253068381063707,0.046710654018009695,0.01694915254237288,0.12441606819629669,-0.034774985388661604
japanese_nengo,7,0.023261250730566924,0.03503179348844421,0.01694915254237288,0.11320330202579498,0.06510812390414963
japanese_nengo,8,0.01180596142606663,0.025741510970430943,0.03389830508474576,0.07022006809711456,0.14541203974284045
japanese_nengo,9,0.03559322033898306,0.03563919820615852,0.0847457627118644,0.12410099804401398,0.07872589129164233
japanese_nengo,10,0.10601987142022211,0.03634373295756138,0.05084745762711865,0.07323259860277176,0.14728229105786095
japanese_nengo,11,0.11016949152542375,0.023125840204057602,0.06779661016949153,0.009176847524940968,0.15791934541203975
japanese_nengo,12,0.1365867913500877,0.011938101957508869,0.05084745762711865,0.027167050167918205,-0.04997077732320281
popes,0,,,0.025974025974025976,1.0,
popes,1,0.14177927335822071,0.056707029697050444,0.025974025974025976,0.07651388645172119,0.19864346180135653
popes,2,0.16833166833166832,0.028035345794570957,0.0,0.19581454992294312,0.08462590041537409
popes,3,0.07826384142173616,0.015853749127819488,0.012987012987012988,0.16952908039093018,0.07129712392870287
popes,4,0.5309953204690046,0.026436785918788994,0.012987012987012988,0.21684709191322327,0.22488038277511957
popes,5,0.5711130974288868,0.10617660248232622,0.03896103896103896,0.3307516276836395,0.319916925180083
popes,6,0.13725747936274252,0.1038213217452015,0.03896103896103896,0.03987677022814751,0.38085598611914395
popes,7,0.1619958988380041,0.10212058945432997,0.05194805194805195,0.0008973646908998489,0.24543877175456122
popes,8,0.18799621431200378,0.10642159969577521,0.06493506493506493,0.055423010140657425,0.3337977811662022
popes,9,0.15266312634733686,0.10004768626486579,0.06493506493506493,0.07929367572069168,0.402912876597087
popes,10,0.12356064987643933,0.09394706934202196,0.07792207792207792,0.17909786105155945,0.3560912771439087
popes,11,0.2783532257216467,0.08021858665508436,0.05194805194805195,0.29577335715293884,0.31615752668384245
popes,12,0.3177874756822125,0.028767308345534027,0.03896103896103896,0.4915785491466522,0.26668068773331927
roman_consuls,0,,,0.03333333333333333,1.0,
roman_consuls,1,0.8066129480411226,0.35191840452032613,0.15,0.5202393531799316,0.8225618227285358
roman_consuls,2,0.5007502083912198,0.23299476535633062,0.1,0.3049144148826599,0.7262572936926925
roman_consuls,3,0.5564323423173104,0.2528765183195109,0.1,0.3420775830745697,0.6480133370380662
roman_consuls,4,0.7702139483189776,0.3142814887796942,0.06666666666666667,0.1733483374118805,-0.3160878021672688
roman_consuls,5,0.8394554042789665,0.32745897796612494,0.06666666666666667,0.14338134229183197,0.3608224506807447
roman_consuls,6,0.8343428730202835,0.3567427943925721,0.08333333333333333,0.3512849807739258,0.7766601833842736
roman_consuls,7,0.8191719922200613,0.3444478866577385,0.08333333333333333,0.13880766928195953,0.3963323145318145
roman_consuls,8,0.789441511530981,0.30864078948988394,0.06666666666666667,0.054892707616090775,0.46985273687135326
roman_consuls,9,0.7747151986662965,0.3531852223166684,0.11666666666666667,0.0804806724190712,0.5663239788830231
roman_consuls,10,0.8026118366212839,0.3627803125077332,0.11666666666666667,0.16435706615447998,0.7212559044178941
roman_consuls,11,0.7959433175882191,0.37959664763475925,0.11666666666666667,0.23321199417114258,0.7719366490691861
roman_consuls,12,0.8214504028896917,0.4224153448156688,0.08333333333333333,0.16328458487987518,0.7380939149763825
year_carrier,0,,,0.0196078431372549,1.0,
year_carrier,1,0.4189911281248056,0.3361657746319517,0.0784313725490196,1.0000001192092896,0.4189911281248056
year_carrier,2,0.693810043482932,0.4150843439218177,0.13725490196078433,0.9999999403953552,0.693810043482932
year_carrier,3,0.716292246015007,0.38704863208663165,0.09803921568627451,0.9999998807907104,0.716292246015007
year_carrier,4,0.7943014175775087,0.3546680376452464,0.06862745098039216,1.0,0.7943014175775087
year_carrier,5,0.9195594031133553,0.4247803187197726,0.14705882352941177,1.0,0.9195594031133553
year_carrier,6,0.9199891434032039,0.43833432644985904,0.17647058823529413,1.0,0.9199891434032039
year_carrier,7,0.932564701358771,0.5418080178266715,0.10784313725490197,1.0,0.932564701358771
year_carrier,8,0.9192088255084788,0.5430282061310321,0.08823529411764706,1.0000001192092896,0.9192088255084788
year_carrier,9,0.9131811524956036,0.537405882367037,0.10784313725490197,1.0,0.9131811524956036
year_carrier,10,0.9215271612826618,0.5415400854687735,0.12745098039215685,0.9999999403953552,0.9215271612826618
year_carrier,11,0.8917733006881499,0.5258649054777663,0.0784313725490196,1.0,0.8917733006881499
year_carrier,12,0.8734188667296199,0.48456483094673475,0.12745098039215685,0.9999999403953552,0.8734188667296199
