model,coin,year,value_proj,time_proj,purch_power,real_earn
macberth,penny,1620,0.25897513591288823,0.09791746735572815,0.16391442413853277,32.191610807937735
macberth,penny,1630,0.25996599179813373,0.10060886293649673,0.15099171350180227,31.91848518411263
macberth,penny,1640,0.2580671781141954,0.1053682416677475,0.1434938328308738,32.50152483020195
macberth,penny,1650,0.2574736128296609,0.10834872722625732,0.13641261167903276,33.87178192292672
macberth,penny,1660,0.2579818310995516,0.11107169091701508,0.13342206332827827,35.6508552384603
macberth,penny,1670,0.2579480433351982,0.10967880487442017,0.1359529142544772,36.198186096800406
macberth,penny,1680,0.25969820978949354,0.11547008156776428,0.14400864655485218,37.210408039950536
macberth,penny,1690,0.26101541576948983,0.114370197057724,0.1486654164069261,38.744192546010716
macberth,penny,1700,0.26104147707524306,0.11376544833183289,0.14791280528994477,38.977209006946744
macberth,penny,1710,0.2603476585240322,0.11355539411306381,0.15748785587238628,42.187754787446664
macberth,penny,1720,0.2584613631833041,0.11137591302394867,0.1644993015105404,44.31799719512114
macberth,penny,1730,0.25668680537460353,0.11062026023864746,0.17216414351640785,48.03544643286373
macberth,penny,1740,0.25664315709522606,0.10929539799690247,0.17466834924028288,50.233123648760746
macberth,penny,1750,0.25633347508166987,0.11250631511211395,0.16354714348341096,47.54318595522974
macberth,penny,1760,0.25789869277423544,0.11351606249809265,0.1434915490398142,42.23256240835029
macberth,penny,1770,0.2585692874289779,0.112226702272892,0.12611208706214241,41.65563275038803
macberth,penny,1780,0.2577944139505151,0.11567067354917526,0.12113108501155932,43.29710646648375
macberth,penny,1790,0.25920460917287846,0.12255207449197769,0.1130622455358706,46.18645498456707
macberth,penny,1800,0.26026730268846976,0.12498587369918823,0.08526197734198854,47.74247247999312
macberth,penny,1810,0.2606059495919827,0.12312256544828415,0.07068269264203877,47.30899556344754
macberth,penny,1820,0.2608731922447724,0.12575700879096985,0.0771242930978539,47.94951187114766
macberth,penny,1830,0.26091429846459735,0.12665536999702454,0.09026461508176865,51.24513966269001
macberth,penny,1840,0.2611984807288081,0.12689223885536194,0.09044074556599284,53.75027159446707
macberth,penny,1850,0.2615179616658515,0.12917344272136688,0.09005326466534641,57.36873941186149
macberth,penny,1860,0.258856081579443,0.13398228585720062,0.08373739665666832,60.00304738434106
macberth,penny,1870,0.259095291694258,0.13613909482955933,0.08222521750488986,67.17886557097987
macberth,penny,1880,0.2582103068400825,0.137624129652977,0.08760232508291382,77.56761450588606
macberth,penny,1890,0.2578831333259301,0.13915611803531647,0.09699950922755289,89.47062417375653
macberth,penny,1900,0.2572855908671212,0.13628660142421722,0.09715757469614748,99.44223996410213
macberth,penny,1910,0.2568793187928371,0.13659237325191498,0.08313576577588934,102.40646022705336
macberth,penny,1920,0.25739554415265375,0.13020260632038116,0.04745495579585952,105.83422412339061
macberth,sixpence,1250,0.26824903730661387,0.10693058371543884,1.0,37.79041359120478
macberth,sixpence,1260,0.2681098046648951,0.1064198836684227,0.9094611406366796,35.57530510343266
macberth,sixpence,1270,0.26625835562501654,0.10591661185026169,0.7962349020308248,28.59186462915868
macberth,sixpence,1280,0.26668331901936826,0.10606340318918228,0.7659322940528717,26.958759368032197
macberth,sixpence,1290,0.26712437580559306,0.10666897892951965,0.7897110711917863,28.104208270289963
macberth,sixpence,1300,0.2663964109589352,0.10549702495336533,0.7542916788700958,26.763773199955562
macberth,sixpence,1310,0.26616225386911974,0.10419487953186035,0.6614840555804953,25.068637978387713
macberth,sixpence,1320,0.2653512488058103,0.10375144332647324,0.6206927565540887,25.43241547174561
macberth,sixpence,1330,0.26549690604830123,0.10508814454078674,0.7138577400686792,29.252746065101952
macberth,sixpence,1340,0.26536600416910855,0.10524298250675201,0.8342194201763972,33.131349603067854
macberth,sixpence,1350,0.26525267654228124,0.10347102582454681,0.718425150559168,38.226829788235676
macberth,sixpence,1360,0.26456159460619993,0.10477858781814575,0.6542062553636363,44.093069613736205
macberth,sixpence,1370,0.26455950886985846,0.10548167675733566,0.6015037721519632,45.39366016791913
macberth,sixpence,1380,0.26523662729758424,0.10409210622310638,0.6970317592530034,54.12512317533032
macberth,sixpence,1390,0.264776207722797,0.10538977384567261,0.7570873301352409,57.20033674937185
macberth,sixpence,1400,0.26555996732491366,0.10640247166156769,0.7329354268288505,58.156993522897146
macberth,sixpence,1410,0.2669788964932802,0.10539309680461884,0.7069101278747706,58.75813275990294
macberth,sixpence,1420,0.2665918462918116,0.10452456772327423,0.7307157575050623,61.16210748411963
macberth,sixpence,1430,0.265133412083269,0.10670731961727142,0.7320366771343666,63.37323186956899
macberth,sixpence,1440,0.26526489239448764,0.10435269773006439,0.7141231496954459,64.53824045199266
macberth,sixpence,1450,0.266456128523983,0.1032218337059021,0.7685896045797157,69.5832042269643
macberth,sixpence,1460,0.26710803243685366,0.10499043762683868,0.7558261127578118,66.95017137032416
macberth,sixpence,1470,0.26753350459570957,0.10477055609226227,0.7624273523487529,66.6191172561408
macberth,sixpence,1480,0.2681381727521766,0.10466257482767105,0.7154058643807953,62.45805345527764
macberth,sixpence,1490,0.2672700256409105,0.10708119720220566,0.7158185437535453,62.009179998560384
macberth,sixpence,1500,0.2650286324466373,0.10973039269447327,0.7281441036098597,62.18326006157476
macberth,sixpence,1510,0.26672458345512406,0.11298513412475586,0.7189382345969891,60.14651786829997
macberth,sixpence,1520,0.266916528815316,0.1115507185459137,0.6461441916711493,54.76797473188103
macberth,sixpence,1530,0.26741623608604875,0.1131822019815445,0.5751400616257254,48.32983420423
macberth,sixpence,1540,0.2653137120880779,0.11234109103679657,0.5309720782927089,48.257446373013146
macberth,sixpence,1550,0.26332537188710264,0.11034464091062546,0.3791282634704123,43.53833949482721
macberth,sixpence,1560,0.26243459266345553,0.11179247498512268,0.31686378663507975,43.58663373642403
macberth,sixpence,1570,0.2631273547106345,0.1121569350361824,0.29685528852591286,45.806589921776016
macberth,sixpence,1580,0.2645577480535628,0.10686737298965454,0.259329273594164,41.913963675687306
macberth,sixpence,1590,0.2650465214611268,0.10885950177907944,0.21804982475622126,37.24701355502289
macberth,sixpence,1600,0.26530306210165155,0.11509071290493011,0.19158151197338358,34.349456206452125
macberth,sixpence,1610,0.2664935184091714,0.11643555760383606,0.17552153617442268,33.498276811377444
macberth,sixpence,1620,0.2648379984413473,0.11190686374902725,0.16391442413853277,32.191610807937735
macberth,sixpence,1630,0.2655908535500909,0.113782599568367,0.15099171350180227,31.91848518411263
macberth,sixpence,1640,0.26247120905279536,0.11707931011915207,0.1434938328308738,32.50152483020195
